"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
25750,1992,"CA","USF","BDF"," ","00000000","","",14,NA,1,590.3924,1990
25751,1992,"CA","USF","BDF"," ","00000000","","",14,NA,1,212.73418,1990
25752,1992,"CA","USF","BDF"," ","00000000","","",14,NA,1,188.16925,1990
25753,1992,"CA","USF","BDF"," ","00000000","","",14,NA,1,84.034966,1990
25754,1992,"CA","USF","BDF"," ","00000000","","",14,NA,1,286.83624,1990
25755,1992,"CA","USF","INF"," ","00000000","","",1,NA,1,247.8362,1990
25756,1992,"CA","USF","INF"," ","00000000","","",1,NA,1,139.13089,1990
25757,1992,"CA","CCO","LAC","LAKE FIRE","00921161","1992/08/16 00:00:00+00","",14,NA,1,94.750778,1990
25758,1992,"CA","CCO","LAC","DEVIL FIRE","00921016","1992/07/20 00:00:00+00","",14,NA,1,1351.0396,1990
25759,1992,"CA","CCO","LAC","BOUQUET FIRE","00921795","1992/11/11 00:00:00+00","",14,NA,1,120.45403,1990
25760,1992,"CA","CCO","LAC","HUNTSTOCK FIRE","00921323","1992/09/17 00:00:00+00","",14,NA,1,40.181076,1990
25761,1992,"CA","CCO","LAC","MADD FIRE","00921323","1992/09/17 00:00:00+00","",14,NA,1,71.641541,1990
25762,1992,"CA","CCO","LAC","VINEHILL FIRE","00921162","1992/08/16 00:00:00+00","",14,NA,1,11.589868,1990
25763,1992,"CA","CCO","LAC","OCEAN FIRE","00928984","1992/06/28 00:00:00+00","",14,NA,1,172.82562,1990
25764,1992,"CA","CCO","LAC","FARRALONE FIRE 46 AC","00000000","1992/08/15 00:00:00+00","",14,NA,1,43.805771,1990
25765,1992,"CA","CCO","LAC","MULHOLLAND FIRE","00000000","1992/07/30 00:00:00+00","",14,NA,1,39.425407,1990
25766,1992,"CA","CCO","LAC","REFINERY FIRE 28 AC","00000000","1992/09/09 00:00:00+00","",14,NA,1,26.365582,1990
25767,1992,"CA","CCO","LAC","HOLLYRIDGE FIRE 8 AC","00000000","1992/07/05 00:00:00+00","",14,NA,1,7.980135,1990
25768,1992,"CA","CCO","LAC","AVENUE 5","00000000","1992/08/14 00:00:00+00","",14,NA,1,25.740324,1990
25769,1961,"CA","CDF","BTU","TABLE MOUNTAIN","00000000","1961/07/27 00:00:01+00","",14,NA,1,286.62845,1960
25770,1961,"CA","CDF","LNU","W.W. HARRIS","00000000","1961/06/28 00:00:01+00","",14,NA,1,669.40454,1960
